Date,Ticker,Action,Shares,Price,Value,Fee
2026-02-13,HPG,BUY,5509400,26.85,147927390,221891.085
2026-02-13,VHM,BUY,2752200,109.0,299989800,449984.7
2026-02-13,REE,BUY,2608700,61.6,160695920,241043.88
2026-02-13,MBB,BUY,10600700,28.3,299999810,449999.715
2026-02-13,TCB,BUY,2396800,35.45,84966560,127449.84
